simTime,numCycles,numOps
435,141998524,37774743
646,217417877,99911863
1259,378751985,119662739
529,162248601,52384729
146,53508704,17365539
1356,470979089,196784904
507,162520936,64914119
102,34065508,13383687
2561,62507743651,320414187
486,31740555351,70469453
